"","Intervaller","Simtag","Längder","Sträcka","Tid","Total tid","Medeltempo","Bästa tempo","Medel-Swolf","Medelpuls","Maxpuls","Totalt antal simtag","Medelantal simtag","Kalorier"
"","1","Frisim","1","50","0:51,7","0:51,7","1:43","1:43","72","--","--","20","20","12"
"","1.1","Frisim","1","50,00","0:51,7","0:51,7","1:43","1:43","72","--","--","20","--","12"
"","","Vila","0","0","0:15,1","1:06,8","0","0","0","--","--","0","0","0"
"","2","Frisim","1","50","0:50,3","1:57,1","1:41","1:41","70","--","--","20","20","12"
"","2.1","Frisim","1","50,00","0:50,3","0:50,3","1:41","1:41","70","--","--","20","--","12"
"","","Vila","0","0","0:43,6","2:40,7","0","0","0","--","--","0","0","0"
"","3","Frisim","4","200","3:07,9","5:48,5","1:34","1:25","64","--","--","67","17","48"
"","3.1","Frisim","1","50,00","0:50,4","0:50,4","1:41","1:41","68","--","--","18","--","12"
"","3.2","Frisim","1","50,00","0:45,7","1:36,1","1:31","1:31","64","--","--","18","--","12"
"","3.3","Frisim","1","50,00","0:49,4","2:25,4","1:39","1:39","69","--","--","20","--","12"
"","3.4","Frisim","1","50,00","0:42,4","3:07,9","1:25","1:25","53","--","--","11","--","12"
"","","Vila","0","0","0:36,1","6:24,6","0","0","0","--","--","0","0","0"
"","4","Frisim","4","200","3:06,0","9:30,7","1:33","1:25","65","--","--","73","18","48"
"","4.1","Frisim","1","50,00","0:47,4","0:47,4","1:35","1:35","65","--","--","18","--","12"
"","4.2","Frisim","1","50,00","0:48,6","1:36","1:37","1:37","68","--","--","19","--","12"
"","4.3","Frisim","1","50,00","0:47,6","2:23,6","1:35","1:35","66","--","--","18","--","12"
"","4.4","Frisim","1","50,00","0:42,5","3:06,0","1:25","1:25","60","--","--","18","--","12"
"","","Vila","0","0","1:08,0","10:39","0","0","0","--","--","0","0","0"
"","5","Frisim","4","200","3:04,8","13:43","1:32","1:23","65","--","--","74","19","48"
"","5.1","Frisim","1","50,00","0:47,7","0:47,7","1:35","1:35","66","--","--","18","--","12"
"","5.2","Frisim","1","50,00","0:47,4","1:35,1","1:35","1:35","67","--","--","20","--","12"
"","5.3","Frisim","1","50,00","0:48,3","2:23,4","1:37","1:37","66","--","--","18","--","12"
"","5.4","Frisim","1","50,00","0:41,4","3:04,8","1:23","1:23","59","--","--","18","--","12"
"","","Vila","0","0","0:35,7","14:19","0","0","0","--","--","0","0","0"
"","6","Frisim","4","200","3:03,5","17:23","1:32","1:27","64","--","--","74","19","48"
"","6.1","Frisim","1","50,00","0:47,8","0:47,8","1:36","1:36","66","--","--","18","--","12"
"","6.2","Frisim","1","50,00","0:45,9","1:33,7","1:32","1:32","65","--","--","19","--","12"
"","6.3","Frisim","1","50,00","0:46,3","2:20,0","1:33","1:33","65","--","--","19","--","12"
"","6.4","Frisim","1","50,00","0:43,5","3:03,5","1:27","1:27","62","--","--","18","--","12"
"","","Vila","0","0","1:04,6","18:27","0","0","0","--","--","0","0","0"
"","7","Frisim","4","200","3:23,4","21:51","1:42","1:37","71","--","--","81","20","48"
"","7.1","Frisim","1","50,00","0:51,6","0:51,6","1:43","1:43","71","--","--","19","--","12"
"","7.2","Frisim","1","50,00","0:50,9","1:42,5","1:42","1:42","71","--","--","20","--","12"
"","7.3","Frisim","1","50,00","0:52,4","2:34,9","1:45","1:45","73","--","--","21","--","12"
"","7.4","Frisim","1","50,00","0:48,5","3:23,4","1:37","1:37","69","--","--","21","--","12"
"","","Vila","0","0","0:36,9","22:28","0","0","0","--","--","0","0","0"
"","8","Frisim","4","200","3:25,4","25:53","1:43","1:40","73","--","--","86","22","48"
"","8.1","Frisim","1","50,00","0:52,4","0:52,4","1:45","1:45","73","--","--","21","--","12"
"","8.2","Frisim","1","50,00","0:51,4","1:43,8","1:43","1:43","72","--","--","21","--","12"
"","8.3","Frisim","1","50,00","0:51,6","2:35,4","1:43","1:43","74","--","--","22","--","12"
"","8.4","Frisim","1","50,00","0:50,0","3:25,4","1:40","1:40","72","--","--","22","--","12"
"","","Vila","0","0","0:34,5","26:27","0","0","0","--","--","0","0","0"
"","9","Frisim","2","100","1:44,8","28:12","1:45","1:44","76","--","--","47","24","24"
"","9.1","Frisim","1","50,00","0:52,7","0:52,7","1:45","1:45","76","--","--","23","--","12"
"","9.2","Frisim","1","50,00","0:52,2","1:44,8","1:44","1:44","76","--","--","24","--","12"
"","","Vila","0","0","0:54,8","29:07","0","0","0","--","--","0","0","0"
"","10","Frisim","2","100","1:40,7","30:48","1:41","1:39","73","--","--","45","23","24"
"","10.1","Frisim","1","50,00","0:51,3","0:51,3","1:42","1:42","73","--","--","22","--","12"
"","10.2","Frisim","1","50,00","0:49,4","1:40,7","1:39","1:39","72","--","--","23","--","12"
"","","Vila","0","0","0:18,8","31:07","0","0","0","--","--","0","0","0"
"","Summering","","30","1.500","31:07","31:07","1:37","1:23","68","","","587","20","360"
